11 2 721.76 25.32 -1.796 19.36 -1.428 38.4 -0.78 28.09 -0.772 41.8 -0.563 30.3 -0.646 66.58 0.385 40.64 -0.138 126.56 1.35 66.26 0.72 149.05 1.258 101.13 0.998 151.81 1.045 139.51 1.353 4 -0.38 2 4 -0.26 4 -0.69 4 -0.49 1 4 4 -0.16 2 2 7 1 1 1 1 2 3 -1.95 -1.51 -0.23 -1.03 -0.97 0 -0.83 -0.86 0.11 0.01 -0.45 0.36 0.81 0.24 -0.66 1.02 0.76 -0.02 1.04 1.35 0.56
12 1 679.68 34.24 -1.071 25.84 -0.916 43.86 -0.444 31.41 -0.588 46.05 -0.33 34.62 -0.408 59.69 0.195 51.26 0.279 127.84 1.332 99.15 1.312 127.52 1.009 145.1 1.817 132.31 0.859 133.56 1.25 3 -0.03 2 3 0.13 3 -0.38 3 -0.32 0 2 3 -0.94 1 0 5 0 1 0 0 2 3 -1.28 -1.09 -0.47 -0.72 -0.81 0.15 -0.62 -0.68 0.06 -0.16 -0.11 0.45 0.82 0.73 -1.01 0.81 1.46 0.35 0.86 1.25 0.34
13 1 827.54 35.24 -0.996 22.22 -1.195 36.12 -0.936 24.24 -1.028 38.87 -0.747 30.69 -0.586 59.69 0.192 41.45 -0.1 79.89 0.654 53.79 0.364 89.45 0.574 80.75 0.636 -999 -999 106.45 0.834 3 -0.66 1 3 -0.7 3 -0.73 3 -0.65 1 4 3 -0.78 1 0 0 9 -999 0 0 0 0 -1.22 -1.31 -0.91 -1.17 -1.18 -1.12 -1 -0.85 -0.76 -0.16 -0.42 -0.41 0.27 -0.04 -2.21 0.41 0.48 -1.51 -999 0.83 0.28
14 2 721.76 33.54 -1.119 26.56 -0.868 48.6 -0.208 37.21 -0.274 48.04 -0.236 41.4 -0.104 67.24 0.384 63.05 0.62 126.42 1.384 102.15 1.368 147.58 1.25 140.28 1.634 133.12 0.866 139.42 1.351 3 -0.48 2 3 -0.48 3 -0.77 3 -0.78 3 6 3 -0.68 3 7 0 1 3 1 2 7 8 -1.33 -1.05 -0.31 -0.51 -0.58 0.23 -0.53 -0.42 -0.1 0.03 0.17 0.35 0.8 0.77 -0.72 1 1.37 -0.27 0.87 1.35 0.21
15 1 2527.03 27.73 -1.573 17.51 -1.6 41.19 -0.6 28.75 -0.733 48.22 -0.22 38.87 -0.216 92.66 0.832 53.14 0.334 165.1 1.817 89.1 1.149 197.07 2.099 132.93 1.49 194.91 1.653 145.17 1.457 4 -0.36 2 4 -0.46 3 -1.06 3 -1.35 3 6 5 -0.6 2 1 21 3 5 1 4 4 0 -1.73 -1.65 -0.33 -0.86 -0.94 0 -0.53 -0.52 0.23 0.45 -0.06 0.48 1.19 0.6 0.27 1.71 1.24 0.96 1.65 1.46 1.66
16 1 827.54 23.55 -2.032 16.13 -1.74 33.54 -1.118 19.98 -1.386 36.15 -0.934 21.66 -1.23 53.28 -0.035 27.82 -0.79 70.28 0.409 70.44 0.795 106 0.774 80.1 0.621 106.45 0.609 93.55 0.658 4 -0.28 2 4 -0.44 4 -0.48 4 -0.49 1 4 4 -0.48 3 2 0 3 1 1 0 0 0 -2.17 -1.77 -0.82 -1.33 -1.46 -0.25 -1.16 -1.34 -0.04 -0.34 -0.98 0.44 0.09 0.31 -0.75 0.6 0.47 -0.21 0.61 0.66 0.08
17 2 721.76 27.88 -1.561 15.77 -1.809 48 -0.23 37.76 -0.264 43.15 -0.48 45.07 0.045 90.76 0.853 55.42 0.412 163.31 1.762 117.65 1.625 183.6 1.817 138.36 1.669 200.99 1.843 156.1 1.69 5 0.36 2 5 0.3 5 0.27 5 0.25 3 6 5 -0.09 2 3 8 2 3 0 0 4 6 -1.72 -1.81 -0.1 -0.53 -0.56 0.27 -0.76 -0.3 0.33 0.43 0 0.59 1.17 1 -0.1 1.43 1.33 0.83 1.84 1.69 1.89
18 1 679.68 32.25 -1.248 20.98 -1.286 47.73 -0.237 25.79 -0.933 53.55 -0.02 39.51 -0.188 69.88 0.426 47.99 0.161 150.65 1.599 99.61 1.316 183.99 1.833 132.28 1.473 195.75 1.675 156.96 1.711 5 -0.12 2 5 0.27 5 0.15 5 0.34 1 5 5 0.36 2 10 20 3 5 0 0 5 10 -1.41 -1.39 0.11 -0.55 -1.09 0.46 -0.34 -0.49 0.89 0.08 -0.21 0.96 1.03 0.74 0.3 1.44 1.23 0.87 1.67 1.71 2.59
19 2 721.76 32.75 -1.174 21.98 -1.203 39.82 -0.688 26.1 -0.899 40.53 -0.642 34 -0.437 65.13 0.287 40.38 -0.15 90.36 0.839 63.66 0.644 126.67 0.988 105.31 1.01 100.68 0.547 127.93 1.157 6 0.3 2 6 0.49 6 0.53 6 0.19 0 3 6 0.4 2 1 1 1 2 1 1 3 3 -1.38 -1.32 -0.55 -0.94 -1.07 -0.43 -0.9 -0.7 -0.36 -0.02 -0.46 0.14 0.42 0.18 -1.71 0.81 0.82 -0.68 0.55 1.16 0.61
20 2 709.63 24.8 -1.857 15.4 -1.834 45.91 -0.332 29.39 -0.697 47.32 -0.26 38.72 -0.222 54.9 0.029 45.37 0.057 129.79 1.405 80.67 1.015 165.5 1.428 118.88 1.273 172.06 1.27 135.78 1.288 3 -0.38 2 3 -0.09 3 -0.06 3 -0.08 0 2 3 -0.38 2 5 4 3 5 2 3 3 4 -2.01 -1.84 -0.41 -0.62 -0.91 0.02 -0.56 -0.52 0.09 -0.29 -0.29 0.35 0.84 0.48 -0.12 1.19 1.01 0.64 1.27 1.29 1.56
